,href,icons,id,name
36,https://api.spotify.com/v1/browse/categories/0JQ5DAqbMKFQiK2EHwyjcU,"[{'height': None, 'url': 'https://t.scdn.co/images/6fe5cd3ebc8c4db7bb8013152b153505', 'width': None}]",0JQ5DAqbMKFQiK2EHwyjcU,Blues
37,https://api.spotify.com/v1/browse/categories/0JQ5DAqbMKFAjfauKLOZiv,"[{'height': 274, 'url': 'https://t.scdn.co/media/derived/punk-274x274_f3f1528ea7bbb60a625da13e3315a40b_0_0_274_274.jpg', 'width': 274}]",0JQ5DAqbMKFAjfauKLOZiv,Punk
38,https://api.spotify.com/v1/browse/categories/funk,"[{'height': None, 'url': 'https://t.scdn.co/images/f4f0987fcab446fcaa7173acb5e25701.jpeg', 'width': None}]",funk,Funk
39,https://api.spotify.com/v1/browse/categories/0JQ5DAqbMKFAQy4HL4XU2D,"[{'height': 274, 'url': 'https://t.scdn.co/media/derived/travel-274x274_1e89cd5b42cf8bd2ff8fc4fb26f2e955_0_0_274_274.jpg', 'width': 274}]",0JQ5DAqbMKFAQy4HL4XU2D,Travel
40,https://api.spotify.com/v1/browse/categories/0JQ5DAqbMKFCfObibaOZbv,"[{'height': None, 'url': 'https://t.scdn.co/images/0d39395309ba47838ef12ce987f19d16.jpeg', 'width': None}]",0JQ5DAqbMKFCfObibaOZbv,Gaming
41,https://api.spotify.com/v1/browse/categories/0JQ5DAqbMKFQIL0AXnG5AK,"[{'height': 274, 'url': 'https://t.scdn.co/media/derived/trending-274x274_7b238f7217985e79d3664f2734347b98_0_0_274_274.jpg', 'width': 274}]",0JQ5DAqbMKFQIL0AXnG5AK,Trending
42,https://api.spotify.com/v1/browse/categories/0JQ5DAqbMKFy0OenPG51Av,"[{'height': 274, 'url': 'https://t.scdn.co/media/derived/icon-274x274_5ce6e0f681f0a76f9dcf9270dfd18489_0_0_274_274.jpg', 'width': 274}]",0JQ5DAqbMKFy0OenPG51Av,Christian & Gospel
43,https://api.spotify.com/v1/browse/categories/0JQ5DAqbMKFRNXsIvgZF9A,"[{'height': None, 'url': 'https://t.scdn.co/images/487ecec9ae594690a55c0150b1958eff', 'width': None}]",0JQ5DAqbMKFRNXsIvgZF9A,Music + Talk
44,https://api.spotify.com/v1/browse/categories/0JQ5DAqbMKFQ1UFISXj59F,"[{'height': None, 'url': 'https://t.scdn.co/images/0c70e480b55c41858ebcc47061ebcb45.jpeg', 'width': None}]",0JQ5DAqbMKFQ1UFISXj59F,Arab
45,https://api.spotify.com/v1/browse/categories/0JQ5DAqbMKFLVaM30PMBm4,"[{'height': None, 'url': 'https://t.scdn.co/images/8e508d7eb5b843a89c368c9507ecc429.jpeg', 'width': None}]",0JQ5DAqbMKFLVaM30PMBm4,Summer
