,collaborative,description,href,id,images,name,primary_color,public,snapshot_id,type,uri,external_urls.spotify,owner.display_name,owner.external_urls.spotify,owner.href,owner.id,owner.type,owner.uri,tracks.href,tracks.total
64,False,The easy listening sound of Jazz. Cover: Norah Jones,https://api.spotify.com/v1/playlists/37i9dQZF1DWT4nLmUaFDGb,37i9dQZF1DWT4nLmUaFDGb,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f0000000390d8df7e39072c0ce27be78d', 'width': None}]",Easy Jazz,,,MTY2NDgwNTU5NCwwMDAwMDAwMGJhZjUzODQ1MDk3YmIyYmJkMGQzMjE2ZTZhYjgwN2Rl,playlist,spotify:playlist:37i9dQZF1DWT4nLmUaFDGb,https://open.spotify.com/playlist/37i9dQZF1DWT4nLmUaFDGb,Spotify,https://open.spotify.com/user/spotify,https://api.spotify.com/v1/users/spotify,spotify,user,spotify:user:spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DWT4nLmUaFDGb/tracks,150
65,False,Slow burners for late nights.,https://api.spotify.com/v1/playlists/37i9dQZF1DXdQvOLqzNHSW,37i9dQZF1DXdQvOLqzNHSW,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f000000033df638bf5c33922ceb4c185a', 'width': None}]",late night vibes,,,MTY2NDkwNjYxMywwMDAwMDAwMDc1YTYyMWQxZTY2MmQ0MTdlOTQxMDRjYjk0NWE2MWQ2,playlist,spotify:playlist:37i9dQZF1DXdQvOLqzNHSW,https://open.spotify.com/playlist/37i9dQZF1DXdQvOLqzNHSW,Spotify,https://open.spotify.com/user/spotify,https://api.spotify.com/v1/users/spotify,spotify,user,spotify:user:spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DXdQvOLqzNHSW/tracks,75
66,False,Chilled songs that you are familiar with - no surprises!,https://api.spotify.com/v1/playlists/37i9dQZF1DWYWddJiPzbvb,37i9dQZF1DWYWddJiPzbvb,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f00000003a86f06fb337166fc5047efee', 'width': None}]",Comfort Zone,,,MTY2MzkxNTU0MSwwMDAwMDAwMDU3N2I1MTRiMDMyNmRlMzVkODcxYzQxOWM1YWRjNDM3,playlist,spotify:playlist:37i9dQZF1DWYWddJiPzbvb,https://open.spotify.com/playlist/37i9dQZF1DWYWddJiPzbvb,Spotify,https://open.spotify.com/user/spotify,https://api.spotify.com/v1/users/spotify,spotify,user,spotify:user:spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DWYWddJiPzbvb/tracks,200
67,False,Just chill.,https://api.spotify.com/v1/playlists/37i9dQZF1DX889U0CL85jj,37i9dQZF1DX889U0CL85jj,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f00000003f2d08778548e125bcb867692', 'width': None}]",Chill Vibes,,,MTY2NDg5ODU3NiwwMDAwMDAwMDY1MGU5OGVjNGI3ZTI4M2IwZjY3OTNhNzE4ZWZmZjBj,playlist,spotify:playlist:37i9dQZF1DX889U0CL85jj,https://open.spotify.com/playlist/37i9dQZF1DX889U0CL85jj,Spotify,https://open.spotify.com/user/spotify,https://api.spotify.com/v1/users/spotify,spotify,user,spotify:user:spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DX889U0CL85jj/tracks,149
68,False,"Tune in, bliss out",https://api.spotify.com/v1/playlists/37i9dQZF1DX0FJ8JYkqiJu,37i9dQZF1DX0FJ8JYkqiJu,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f00000003719586de761e1ff231672faa', 'width': None}]",Just Chill,,,MTY2NDQ2MDAwMCwwMDAwMDAwMDkwMmY2NTYyYzk5NGI0OTgyZTcwNWQzMWM2YTU2ODAz,playlist,spotify:playlist:37i9dQZF1DX0FJ8JYkqiJu,https://open.spotify.com/playlist/37i9dQZF1DX0FJ8JYkqiJu,Spotify,https://open.spotify.com/user/spotify,https://api.spotify.com/v1/users/spotify,spotify,user,spotify:user:spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DX0FJ8JYkqiJu/tracks,70
69,False,Let your worries and cares slip away.,https://api.spotify.com/v1/playlists/37i9dQZF1DWU0ScTcjJBdj,37i9dQZF1DWU0ScTcjJBdj,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f0000000351548f92c40cd454d0e16fd7', 'width': None}]",Relax & Unwind,,,MTY1OTUzODIxNywwMDAwMDAwMGE5NTNlMjVjOWU5MGIwODQ5ZTA3OTk0OGY2NzlkNDZh,playlist,spotify:playlist:37i9dQZF1DWU0ScTcjJBdj,https://open.spotify.com/playlist/37i9dQZF1DWU0ScTcjJBdj,Spotify,https://open.spotify.com/user/spotify,https://api.spotify.com/v1/users/spotify,spotify,user,spotify:user:spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DWU0ScTcjJBdj/tracks,126
70,False,The original chill instrumental beats playlist.,https://api.spotify.com/v1/playlists/37i9dQZF1DX0SM0LYsmbMT,37i9dQZF1DX0SM0LYsmbMT,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f000000035ea54b91b073c2776b966e7b', 'width': None}]",Jazz Vibes,,,MTY2Mzg4NDAwMCwwMDAwMDAwMGI3MmM3ZmMzYjgyZjhmNGVlNWU3NDNjMjQ2ZjhhYzMy,playlist,spotify:playlist:37i9dQZF1DX0SM0LYsmbMT,https://open.spotify.com/playlist/37i9dQZF1DX0SM0LYsmbMT,Spotify,https://open.spotify.com/user/spotify,https://api.spotify.com/v1/users/spotify,spotify,user,spotify:user:spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DX0SM0LYsmbMT/tracks,300
71,False,Slow down with some calming keys.,https://api.spotify.com/v1/playlists/37i9dQZF1DX1s9knjP51Oa,37i9dQZF1DX1s9knjP51Oa,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f0000000360c0432458abee4f6aa4000f', 'width': None}]",Calm Vibes,,,MTY2NDg5MDE2MywwMDAwMDAwMDZlNTlkODc5NWYzMzdiOTc2OTZkY2E0MDZjZjY3YzU0,playlist,spotify:playlist:37i9dQZF1DX1s9knjP51Oa,https://open.spotify.com/playlist/37i9dQZF1DX1s9knjP51Oa,Spotify,https://open.spotify.com/user/spotify,https://api.spotify.com/v1/users/spotify,spotify,user,spotify:user:spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DX1s9knjP51Oa/tracks,322
72,False,"Don't stress out. Stay relaxed with these easy, upbeat songs.",https://api.spotify.com/v1/playlists/37i9dQZF1DWT7XSlwvR1ar,37i9dQZF1DWT7XSlwvR1ar,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f00000003b25e0e9cdd7e55a0ea3ff0e6', 'width': None}]",Totally Stress Free,,,MTY2NDUxMDQ2MCwwMDAwMDAwMDc5ZjdmMjU2ODQ2ZjljODNlODczYjA5OGNmNzQwMTMz,playlist,spotify:playlist:37i9dQZF1DWT7XSlwvR1ar,https://open.spotify.com/playlist/37i9dQZF1DWT7XSlwvR1ar,Spotify,https://open.spotify.com/user/spotify,https://api.spotify.com/v1/users/spotify,spotify,user,spotify:user:spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DWT7XSlwvR1ar/tracks,100
73,False,Soft house music for your laidback moments.,https://api.spotify.com/v1/playlists/37i9dQZF1DX82pCGH5USnM,37i9dQZF1DX82pCGH5USnM,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f0000000304c4c53344f46e15b169eedf', 'width': None}]",Lounge - Soft House,,,MTY2Mzg5NDgwMCwwMDAwMDAwMDU3OTA1ZTYyMDIwMWZmZjczOWVhYjJkNjdiYWIyZWZm,playlist,spotify:playlist:37i9dQZF1DX82pCGH5USnM,https://open.spotify.com/playlist/37i9dQZF1DX82pCGH5USnM,Spotify,https://open.spotify.com/user/spotify,https://api.spotify.com/v1/users/spotify,spotify,user,spotify:user:spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DX82pCGH5USnM/tracks,215
